description,domain,sub_domain
"Pediatrics in the Medical domain is a subfield of medicine which consists of the medical disciplines, including nursing and the medical science.",Medical,Pediatrics
"Unlike a large part of the medical science, Oncology is about medicine.",Medical,Oncology
Internal Medicine is a branch of the medical science.,Medical,Internal Medicine
Internal medicine is the study of internal organs and their function in a specific body part or organ system.,Medical,Internal Medicine
"Endocrinology is the study of endocrine disorders such as endocrinemia, hypertension, diabetes mellitus, and other conditions.",Medical,Endocrinology
"The ER consists of the emergency room, and is the first in the field of medicine.",Medical,Emergency Medicine
Neurology is the science of examining neuronal cells.,Medical,Neurology
Infectious Diseases in the Medical domain.,Medical,Infectious Diseases
Orthopedics is a subfield of medicine that deals with many different parts of the body.,Medical,Orthopedics
Nephrology is the study of kidney function. It consists of:,Medical,Nephrology
Internal Medicine (Medicine) is a subfield of medicine in which it relates to the medical treatment of diseases and disorders.,Medical,Internal Medicine
Cardiology is a subfield of medicine that covers a wide range of medical disciplines.,Medical,Cardiology
"Emergency medicine is the treatment of serious illnesses, including homicidal or axonital injuries, and is primarily concerned with preventing illness, injury, and death.",Medical,Emergency Medicine
"Oncology is the field of medicine that focuses on oncological diseases, such as cancer and ovarian cancer.",Medical,Oncology
"'Emergency Medicine' is a tame medical term for ""all kinds of emergencies"" and is used in the medical profession as a synonym of emergencies.",Medical,Emergency Medicine
Radiology in the Medical domain is a scientific discipline in which many techniques are used to produce radiation for medical purposes.,Medical,Radiology
"Radiology is a discipline in medicine that deals with the investigation of radiation, particularly in the simplest forms: radiation doses (less than 50 ng/ml) and the size of the radiation spectrum.",Medical,Radiology
"Dermatology is a branch of medicine in which the study of diseases of the skin, the body, and the mind is concerned.",Medical,Dermatology
Pediatrics is the field of medicine in which the medical profession is concerned.,Medical,Pediatrics
"Reproductive Medicine is the field of medicine, and the field of reproductive surgery consists of three parts:",Medical,Reproductive Medicine
"Nephrology is a medical domain that encompasses the medical treatment of kidney diseases, which include renal failure, kidney transplantation, renal function, and nephrosis.",Medical,Nephrology
"Neurology is the study of disease and disorders in neurological systems, primarily a nervous system.",Medical,Neurology
"Emergency Medicine in the Medical domain is the sub-category of medicine, and includes most general medical, emergency and critical care medicine, and a wide variety of clinical, translational, clinical, and scientific specialty.",Medical,Emergency Medicine
Pathology is the study of pathology. It is a discipline that covers a wide range of medical fields. It is often described as the field of medicine.,Medical,Pathology
Hematology is a branch of medicine that deals with the treatment of disease.,Medical,Hematology
Reproductive Medicine in the Medical domain:,Medical,Reproductive Medicine
"Orthopedics is a discipline in which a person's foot is placed on the limb, usually in the pelvic region, primarily to reduce friction between their foot and the groin.",Medical,Orthopedics
Plastic Surgery is the term used in surgery to make cosmetic changes to a body that is not able to be performed normally.,Medical,Plastic Surgery
"Anesthesiology is the study of abnormalities in the nervous system, gastrointestinal tract and the urinary system.",Medical,Anesthesiology
Radiology in the Medical domain is a discipline in medicine that involves the study of a wide variety of diseases and disorders.,Medical,Radiology
"Emergency Medicine in the Medical domain: The emergency medicine sub-category of medicine, or the medical sub-category, refers to a variety of medical specialties and specialized fields that are relevant to the field of emergency medicine.",Medical,Emergency Medicine
Cardiology is the study of heart and vascular diseases.,Medical,Cardiology
Radiology in the Medical domain is a field of medicine.,Medical,Radiology
"Endocrinology (Doctoral and Scientific) is a field of medicine in which endocrinologists are specialists in the study and development of specific blood and tissue disorders, such as cancers.",Medical,Endocrinology
The Orthopedics of the Medical Domain.,Medical,Orthopedics
Anesthesiology is the study of the anatomy and the diagnosis of diseases.,Medical,Anesthesiology
Hematology is the study of hepatocellular carcinoma.,Medical,Hematology
"Dermatology is the study of cutaneous tissue, the skin, and tissue underlying diseases, such as the septicemia. Dermatology has been used in medicine since ancient times.",Medical,Dermatology
"Internal Medicine is the science and practice of medicine, particularly in the medical profession, where it encompasses the study and treatment of diseases, diseases and disorders of the digestive system.",Medical,Internal Medicine
Infectious Diseases in the Medical Domain () is a sub-discipline of the medical sciences.,Medical,Infectious Diseases
